MCS,DIST,APP_TX_PKTS,MAC_RX_OK,MAC_TX_FAILED,PHY_TX_PKTS,PHX_RX_PKTS,PHY_RX_DROPPED,SNR
1,27,12737,11387,0,11387,11387,0,14.8799
1,28,12737,11376,0,11376,11376,0,14.564
1,29,12737,11474,0,11474,11474,0,14.2592
1,30,12737,11351,0,11351,11351,0,13.9648
1,31,12737,11384,0,11384,11384,0,13.68
1,32,12737,11363,0,11363,11363,0,13.4042
1,33,12737,11390,0,11390,11390,0,13.1369
1,34,12737,0,938,1071,0,0,-nan
1,35,12737,0,944,1078,0,0,-nan
1,36,12737,0,961,1098,0,0,-nan
1,37,12737,0,966,1103,0,0,-nan
1,38,12737,0,977,1116,0,0,-nan
