SRC_ID,DST_ID,TRACE_IDX,SECTOR_ID,ANTENNA_ID,ROLE,BSS_ID,Timestamp
1,2,0,16,1,1,1,3209783
2,1,0,4,1,0,1,3209975
1,2,2,21,1,1,1,1028469947
2,1,2,17,1,0,1,1028470107
1,2,4,35,1,1,1,2052463422
2,1,4,3,1,0,1,2052463551
1,2,6,34,1,1,1,3076494175
2,1,6,4,1,0,1,3076494274
1,2,8,33,1,1,1,4100576085
2,1,8,5,1,0,1,4100576157
1,2,10,30,1,1,1,5124754208
2,1,10,12,1,0,1,5124754261
1,2,12,29,1,1,1,6148739014
2,1,12,8,1,0,1,6148739065
1,2,14,25,1,1,1,7172517961
2,1,14,14,1,0,1,7172518029
1,2,16,34,1,1,1,8196528063
2,1,16,16,1,0,1,8196528157
1,2,18,35,1,1,1,9220469107
2,1,18,17,1,0,1,9220469231
